The monthly values of the modulation parameter (in MV) reconstructed from the ground based cosmic ray data, using the procedure described in Ref.(1).
Local Interstellar spectrum (LIS) corresponds to Ref. (2)

References:
[1] Usoskin, I.G., A. Gil, G.A. Kovaltsov, A. Mishev, V.V. Mikhailov, Heliospheric modulation of cosmic rays during the neutron monitor era: Calibration using PAMELA data for 2006-2010, J. Geophys. Res. Space Phys., 122, 3875-3887, 2017, doi: 10.1002/2016JA023819
[2] Vos, E.E., and M. S. Potgieter), New modeling of galactic proton modulation during the minimum of solar cycle 23/24, Astrophys. J., 815, 119, 2015. doi:10.1088/0004-637X/815/2/119.

Year    Phi (MV)
+++++++++++++++
1951.083   661
1951.167   651
1951.250   642
1951.333   601
1951.417   571
1951.500   600
1951.583   623
1951.667   580
1951.750   574
1951.833   588
1951.917   573
1952.000   599
1952.083   609
1952.167   622
1952.250   595
1952.333   557
1952.417   540
1952.500   528
1952.583   529
1952.667   521
1952.750   558
1952.833   541
1952.917   553
1953.000   575
1953.083   563
1953.167   569
1953.250   565
1953.333   564
1953.417   553
1953.500   561
1953.583   556
1953.667   553
1953.750   543
1953.833   545
1953.917   533
1954.000   527
1954.083   515
1954.167   497
1954.250   504
1954.333   499
1954.417   501
1954.500   495
1954.583   480
1954.667   485
1954.750   487
1954.833   495
1954.917   504
1955.000   539
1955.083   505
1955.167   503
1955.250   503
1955.333   496
1955.417   500
1955.500   500
1955.583   508
1955.667   496
1955.750   516
1955.833   513
1955.917   549
1956.000   580
1956.083   606
1956.167   656
1956.250   613
1956.333   637
1956.417   627
1956.500   602
1956.583   607
1956.667   632
1956.750   580
1956.833   663
1956.917   775
1957.000   856
1957.083   863
1957.167   840
1957.250   914
1957.333   872
1957.417   902
1957.500   933
1957.583   893
1957.667  1015
1957.750   970
1957.833   986
1957.917  1046
1958.000  1040
1958.083  1021
1958.167  1078
1958.250  1061
1958.333   978
1958.417   937
1958.500  1010
1958.583   954
1958.667   939
1958.750   936
1958.833   922
1958.917   959
1959.000   932
1959.083   966
1959.167   900
1959.250   862
1959.333   925
1959.417   880
1959.500  1071
1959.583  1038
1959.667   992
1959.750   909
1959.833   896
1959.917   916
1960.000   962
1960.083   932
1960.167   888
1960.250   947
1960.333   945
1960.417   906
1960.500   905
1960.583   854
1960.667   856
1960.750   856
1960.833   892
1960.917   850
1961.000   789
1961.083   770
1961.167   771
1961.250   775
1961.333   746
1961.417   750
1961.500   856
1961.583   784
1961.667   753
1961.750   729
1961.833   683
1961.917   700
1962.000   704
1962.083   715
1962.167   705
1962.250   720
1962.333   689
1962.417   682
1962.500   675
1962.583   675
1962.667   696
1962.750   701
1962.833   677
1962.917   686
1963.000   644
1963.083   627
1963.167   629
1963.250   611
1963.333   634
1963.417   610
1963.500   606
1963.583   615
1963.667   641
1963.750   619
1963.833   608
1963.917   591
1964.000   577
1964.085   579
1964.167   562
1964.249   553
1964.331   538
1964.415   531
1964.497   534
1964.582   529
1964.667   521
1964.749   518
1964.833   516
1964.915   499
1965.000   497
1965.085   495
1965.162   484
1965.247   472
1965.329   466
1965.414   498
1965.496   515
1965.581   517
1965.666   511
1965.748   499
1965.833   484
1965.915   485
1966.000   501
1966.085   503
1966.162   525
1966.247   534
1966.329   517
1966.414   551
1966.496   571
1966.581   575
1966.666   673
1966.748   614
1966.833   591
1966.915   616
1967.000   633
1967.085   647
1967.162   614
1967.247   623
1967.329   659
1967.414   675
1967.496   656
1967.581   683
1967.666   674
1967.748   663
1967.833   691
1967.915   694
1968.000   680
1968.085   688
1968.164   693
1968.249   684
1968.331   708
1968.415   752
1968.497   746
1968.582   732
1968.667   758
1968.749   801
1968.833   883
1968.915   854
1969.000   761
1969.085   756
1969.162   771
1969.247   788
1969.329   864
1969.414   897
1969.496   861
1969.581   812
1969.666   784
1969.748   774
1969.833   770
1969.915   772
1970.000   768
1970.085   740
1970.162   746
1970.247   791
1970.329   783
1970.414   849
1970.496   848
1970.581   801
1970.666   754
1970.748   736
1970.833   776
1970.915   704
1971.000   691
1971.085   652
1971.162   644
1971.247   644
1971.329   627
1971.414   579
1971.496   574
1971.581   559
1971.666   557
1971.748   535
1971.833   538
1971.915   550
1972.000   545
1972.085   542
1972.164   509
1972.249   499
1972.331   516
1972.415   565
1972.497   533
1972.582   649
1972.667   542
1972.749   529
1972.833   554
1972.915   532
1973.000   525
1973.085   528
1973.162   548
1973.247   603
1973.329   639
1973.414   582
1973.496   559
1973.581   546
1973.666   513
1973.748   516
1973.833   508
1973.915   505
1974.000   514
1974.085   500
1974.162   527
1974.247   535
1974.329   580
1974.414   603
1974.496   648
1974.581   605
1974.666   635
1974.748   629
1974.833   614
1974.915   566
1975.000   560
1975.085   535
1975.162   527
1975.247   517
1975.329   511
1975.414   501
1975.496   506
1975.581   523
1975.666   516
1975.748   520
1975.833   545
1975.915   524
1976.000   531
1976.085   521
1976.164   522
1976.249   540
1976.331   520
1976.415   508
1976.497   501
1976.582   500
1976.667   492
1976.749   495
1976.833   494
1976.915   499
1977.000   506
1977.085   503
1977.162   492
1977.247   499
1977.329   498
1977.414   510
1977.496   546
1977.581   540
1977.666   541
1977.748   515
1977.833   504
1977.915   503
1978.000   547
1978.085   560
1978.162   568
1978.247   613
1978.329   667
1978.414   623
1978.496   619
1978.581   560
1978.666   555
1978.748   603
1978.833   583
1978.915   583
1979.000   622
1979.085   638
1979.162   664
1979.247   720
1979.329   696
1979.414   757
1979.496   757
1979.581   821
1979.666   799
1979.748   748
1979.833   749
1979.915   701
1980.000   717
1980.085   727
1980.164   692
1980.249   735
1980.331   734
1980.415   813
1980.497   817
1980.582   803
1980.667   793
1980.749   853
1980.833   905
1980.915   906
1981.000   833
1981.085   878
1981.162   888
1981.247   919
1981.329   955
1981.414   869
1981.496   860
1981.581   858
1981.666   816
1981.748   911
1981.833   894
1981.915   827
1982.000   773
1982.085   877
1982.162   784
1982.247   765
1982.329   735
1982.414   880
1982.496  1012
1982.581  1008
1982.666  1082
1982.748  1008
1982.833   973
1982.915  1029
1983.000   936
1983.085   876
1983.162   816
1983.247   807
1983.329   890
1983.414   834
1983.496   776
1983.581   777
1983.666   748
1983.748   743
1983.833   733
1983.915   731
1984.000   710
1984.085   722
1984.164   763
1984.249   791
1984.331   859
1984.415   807
1984.497   784
1984.582   747
1984.667   731
1984.749   730
1984.833   739
1984.915   725
1985.000   709
1985.085   665
1985.162   654
1985.247   637
1985.329   629
1985.414   596
1985.496   606
1985.581   606
1985.666   575
1985.748   571
1985.833   554
1985.915   561
1986.000   564
1986.085   627
1986.162   578
1986.247   524
1986.329   515
1986.414   511
1986.496   508
1986.581   507
1986.666   503
1986.748   488
1986.833   524
1986.915   491
1987.000   466
1987.085   446
1987.162   447
1987.247   451
1987.329   470
1987.414   507
1987.496   527
1987.581   551
1987.666   571
1987.748   571
1987.833   597
1987.915   594
1988.000   665
1988.085   640
1988.164   627
1988.249   642
1988.331   636
1988.415   646
1988.497   691
1988.582   703
1988.667   694
1988.749   712
1988.833   723
1988.915   796
1989.000   828
1989.085   832
1989.162   980
1989.247   956
1989.329  1014
1989.414  1000
1989.496   912
1989.581   952
1989.666   986
1989.748  1055
1989.833  1126
1989.915  1078
1990.000  1018
1990.085  1000
1990.162  1034
1990.247  1103
1990.329  1123
1990.414  1125
1990.496  1036
1990.581  1059
1990.666   999
1990.748   941
1990.833   890
1990.915   889
1991.000   826
1991.085   814
1991.162  1018
1991.247   990
1991.329   972
1991.414  1360
1991.496  1334
1991.581  1133
1991.666   990
1991.748   953
1991.833   943
1991.915   895
1992.000   889
1992.085   923
1992.164   852
1992.249   769
1992.331   797
1992.415   734
